t,pt/0/x,pt/0/y,pt/0/l,pt/1/x,pt/1/y,pt/1/l,pt/2/x,pt/2/y,pt/2/l,pt/3/x,pt/3/y,pt/3/l
63,1249,412,1,1249,510,1,1278,510,1,1278,412,1
64,1242,412,0,1242,510,0,1271,510,0,1271,412,0
65,1234,412,1,1234,510,1,1276,510,1,1276,412,1
66,1226,412,0,1226,510,0,1268,510,0,1268,412,0
67,1218,400,1,1218,522,1,1277,522,1,1277,400,1
68,1211,400,0,1211,522,0,1270,522,0,1270,400,0
69,1193,400,1,1193,548,1,1278,548,1,1278,400,1
70,1186,400,0,1186,548,0,1271,548,0,1271,400,0
71,1179,400,1,1179,560,1,1278,560,1,1278,400,1
72,1172,400,0,1172,560,0,1271,560,0,1271,400,0
73,1159,400,1,1159,560,1,1278,560,1,1278,400,1
74,1153,400,0,1153,560,0,1272,560,0,1272,400,0
75,1147,400,0,1147,560,0,1266,560,0,1266,400,0
76,1131,392,1,1131,560,1,1278,560,1,1278,392,1
77,1125,392,0,1125,560,0,1272,560,0,1272,392,0
78,1119,392,0,1119,560,0,1266,560,0,1266,392,0
79,1106,392,1,1106,560,1,1278,560,1,1278,392,1
80,1099,392,0,1099,560,0,1271,560,0,1271,392,0
81,1093,392,0,1093,560,0,1265,560,0,1265,392,0
82,1080,372,1,1080,560,1,1278,560,1,1278,372,1
83,1074,372,0,1074,560,0,1272,560,0,1272,372,0
84,1069,372,0,1069,560,0,1267,560,0,1267,372,0
85,1057,356,1,1057,560,1,1278,560,1,1278,356,1
86,1052,356,0,1052,560,0,1273,560,0,1273,356,0
87,1047,356,0,1047,560,0,1268,560,0,1268,356,0
88,1033,338,1,1033,560,1,1278,560,1,1278,338,1
89,1029,338,0,1029,560,0,1274,560,0,1274,338,0
90,1025,338,0,1025,560,0,1270,560,0,1270,338,0
91,1010,338,1,1010,560,1,1278,560,1,1278,338,1
92,1005,338,0,1005,560,0,1273,560,0,1273,338,0
93,1000,338,0,1000,560,0,1268,560,0,1268,338,0
94,985,338,1,985,560,1,1278,560,1,1278,338,1
95,980,338,0,980,560,0,1273,560,0,1273,338,0
96,975,338,0,975,560,0,1268,560,0,1268,338,0
97,964,338,1,964,560,1,1278,560,1,1278,338,1
98,959,338,0,959,560,0,1273,560,0,1273,338,0
99,954,338,0,954,560,0,1268,560,0,1268,338,0
100,936,338,1,936,560,1,1278,560,1,1278,338,1
101,936,338,0,936,560,0,1278,560,0,1278,338,0
102,926,338,0,926,560,0,1268,560,0,1268,338,0
103,922,338,0,922,560,0,1264,560,0,1264,338,0
104,900,338,1,900,560,1,1278,560,1,1278,338,1
105,896,338,0,896,560,0,1274,560,0,1274,338,0
106,892,338,0,892,560,0,1270,560,0,1270,338,0
107,892,338,0,892,560,0,1270,560,0,1270,338,0
